vendor_id,passenger_count,trip_distance,pickup_longitude,pickup_latitude,rate_code,store_and_fwd,dropoff_longitude,dropoff_latitude,fare_amount,trip_time,year,month,day,day_of_week,is_weekend,hour,h_distance
1,1,1.1,-74.005,40.743,1,0,-73.992,40.754,6.5,341,2016,5,15,1,1,20,1.5971032399653422
1,1,1.1,-74.003,40.718,1,0,-74.004,40.731,7.5,514,2016,1,21,5,0,11,1.3818754725102933
1,1,1.1,-74.003,40.727,1,0,-73.99,40.731,6.5,467,2016,5,14,7,1,20,1.2132932124610094
1,1,1.1,-74.002,40.751,1,0,-73.994,40.741,6.0,374,2016,5,20,6,0,22,1.2328506623826692
1,1,1.1,-74.001,40.736,1,0,-74.002,40.726,6.5,424,2016,1,31,1,1,2,1.1317123276807752
1,1,1.1,-74.001,40.762,1,0,-74.008,40.75,6.5,340,2016,5,20,6,0,17,1.4743244885527345
1,1,1.1,-73.999,40.755,1,0,-73.987,40.762,6.0,274,2016,1,31,1,1,8,1.3359374639273744
1,1,1.1,-73.997,40.719,1,0,-73.99,40.734,7.0,446,2016,6,10,6,0,7,1.7757082740138461
1,1,1.1,-73.994,40.742,1,0,-73.983,40.754,6.0,324,2016,5,14,7,1,11,1.6656950143709603
1,1,1.1,-73.994,40.746,1,0,-73.979,40.737,6.0,268,2016,1,31,1,1,23,1.6209981920193615
1,1,1.1,-73.994,40.751,1,0,-74.007,40.751,8.5,689,2016,5,10,3,0,13,1.044999437446235
1,1,1.1,-73.994,40.762,1,0,-73.981,40.768,6.0,314,2016,5,17,3,0,0,1.303611175151902
1,1,1.1,-73.992,40.768,1,0,-73.975,40.762,9.0,738,2016,5,9,2,0,18,1.635317378900538
1,1,1.1,-73.991,40.75,1,0,-73.98,40.761,8.0,627,2016,1,20,4,0,10,1.506396959123973
1,1,1.1,-73.991,40.75,1,0,-73.977,40.745,11.0,983,2016,1,20,4,0,13,1.3341838354378333
1,1,1.1,-73.99,40.752,1,0,-73.981,40.745,9.0,731,2016,6,2,5,0,22,1.1417277156114833
1,1,1.1,-73.99,40.757,1,0,-73.982,40.773,7.0,453,2016,5,15,1,1,11,1.8753890088674166
1,1,1.1,-73.987,40.734,1,0,-73.995,40.744,7.0,460,2016,5,18,4,0,7,1.3207931485431146
1,1,1.1,-73.987,40.756,1,0,-73.972,40.754,6.5,425,2016,5,10,3,0,7,1.3077265002982672
1,1,1.1,-73.986,40.735,1,0,-73.988,40.723,9.5,808,2016,5,21,7,1,18,1.381510489594745
1,1,1.1,-73.986,40.744,1,0,-73.975,40.759,7.0,475,2016,5,17,3,0,8,1.8623020209262326
1,1,1.1,-73.986,40.752,1,0,-73.985,40.763,7.0,486,2016,5,15,1,1,22,1.3053438644415514
1,1,1.1,-73.986,40.759,1,0,-73.992,40.75,6.0,333,2016,5,14,7,1,7,1.0745682052813845
1,1,1.1,-73.985,40.724,1,0,-73.998,40.724,6.0,343,2016,6,4,7,1,10,1.0378690759475706
1,1,1.1,-73.985,40.741,1,0,-73.991,40.751,6.5,407,2016,5,15,1,1,12,1.1327402965672884
1,1,1.1,-73.985,40.746,1,0,-73.987,40.734,6.0,297,2016,5,15,1,1,0,1.3339397936066246
1,1,1.1,-73.984,40.755,1,0,-73.989,40.766,5.5,278,2016,5,18,4,0,2,1.2622918836126358
1,1,1.1,-73.982,40.756,1,0,-73.994,40.756,9.0,771,2016,5,24,3,0,19,1.0524228758404466
1,1,1.1,-73.982,40.765,1,0,-73.978,40.754,13.0,1286,2016,5,10,3,0,17,1.2724816650806587
1,1,1.1,-73.981,40.765,1,0,-73.991,40.75,10.0,819,2016,5,21,7,1,20,1.8433678284984227
1,1,1.1,-73.98,40.746,1,0,-73.969,40.757,6.0,305,2016,5,10,3,0,22,1.4601700459104106
1,1,1.1,-73.98,40.784,1,0,-73.972,40.797,6.5,314,2016,5,14,7,1,15,1.6008155536645832
1,1,1.1,-73.978,40.752,1,0,-73.977,40.764,12.0,1120,2016,5,16,2,0,16,1.3682817968339742
1,1,1.1,-73.978,40.758,1,0,-73.988,40.743,7.0,491,2016,1,31,1,1,17,1.9279916986215206
1,1,1.1,-73.977,40.765,1,0,-73.982,40.779,7.0,418,2016,6,3,6,0,10,1.5600128782360905
1,1,1.1,-73.976,40.74,1,0,-73.977,40.753,5.5,244,2016,1,31,1,1,6,1.432553409078459
1,1,1.1,-73.975,40.759,1,0,-73.98,40.746,7.0,472,2016,5,11,4,0,20,1.5117449095638087
1,1,1.1,-73.974,40.752,1,0,-73.983,40.762,7.0,524,2016,5,11,4,0,8,1.3793990457175573
1,1,1.1,-73.973,40.78,1,0,-73.982,40.768,6.0,322,2016,1,31,1,1,13,1.527235279465064
1,1,1.1,-73.97,40.764,1,0,-73.96,40.778,5.0,171,2016,5,15,1,1,14,1.7395627514423906
1,1,1.1,-73.969,40.787,1,0,-73.98,40.776,7.0,422,2016,5,24,3,0,18,1.5484265266394384
1,1,1.1,-73.967,40.769,1,0,-73.955,40.78,6.5,378,2016,6,3,6,0,19,1.5302794288370425
1,1,1.1,-73.966,40.753,1,0,-73.955,40.767,7.0,468,2016,5,17,3,0,13,1.8046546529036236
